{
FlexPDE Version 6.50/W64  16:07:14 Jan 31 2017
basismodel_sin_kort.pde  16:17:47 5/28/18
Title: Concentratie
from (0.1,0)
to (0.1,-5)
 Time 570
<c> , <X> , <Y> 
}
  10.,    0.1000000000,    0.0000000000
  10.041518649,    0.1000000000,   -0.0172810939
  10.104696521,    0.1000000000,   -0.0345621878
  10.179264524,    0.1000000000,   -0.0499651665
  10.252372161,    0.1000000000,   -0.0624564581
  10.319096248,    0.1000000000,   -0.0723275552
  10.440163274,    0.1000000000,   -0.0874390414
  10.557570924,    0.1000000000,   -0.0999303330
  10.781658558,    0.1000000000,   -0.1209676574
  11.043817619,    0.1000000000,   -0.1382487513
  11.346889348,    0.1000000000,   -0.1555298453
  11.597125581,    0.1000000000,   -0.1662675629
  11.99471011,    0.1000000000,   -0.1802689719
  12.227170498,    0.1000000000,   -0.1873693744
  12.686491912,    0.1000000000,   -0.1998606660
  12.98601574,    0.1000000000,   -0.2096429194
  13.695736976,    0.1000000000,   -0.2269481086
  14.234968669,    0.1000000000,   -0.2373867911
  14.991264619,    0.1000000000,   -0.2498954995
  15.867629021,    0.1000000000,   -0.2624042079
  16.558896548,    0.1000000000,   -0.2712383959
  17.980563186,    0.1000000000,   -0.2874216246
  19.217132947,    0.1000000000,   -0.2999303330
  20.573771162,    0.1000000000,   -0.3124390414
  22.050477829,    0.1000000000,   -0.3249477498
  23.405199807,    0.1000000000,   -0.3356191979
  25.364095158,    0.1000000000,   -0.3499651665
  27.201007102,    0.1000000000,   -0.3624738749
  30.424395903,    0.1000000000,   -0.3826948109
  33.43215365,    0.1000000000,   -0.4000000000
  33.43215365,    0.1000000000,   -0.4000000000
  35.134148628,    0.1000000000,   -0.4145233167
  37.454496194,    0.1000000000,   -0.4290466334
  39.889521426,    0.1000000000,   -0.4412834008
  42.284552303,    0.1000000000,   -0.4516042510
  47.73257746,    0.1000000000,   -0.4713357150
  51.343295927,    0.1000000000,   -0.4825668016
  53.800549879,    0.1000000000,   -0.4896218266
  58.331593875,    0.1000000000,   -0.5016632169
  64.362082622,    0.1000000000,   -0.5161865337
  71.010927535,    0.1000000000,   -0.5307098504
  78.278127489,    0.1000000000,   -0.5452331671
  86.163685039,    0.1000000000,   -0.5597564838
  94.667598753,    0.1000000000,   -0.5742798005
  99.666589512,    0.1000000000,   -0.5823600504
  105.53745215,    0.1000000000,   -0.5914780529
  113.53049478,    0.1000000000,   -0.6033264339
  118.01040061,    0.1000000000,   -0.6097140580
  123.8894773,    0.1000000000,   -0.6178497506
  131.45824511,    0.1000000000,   -0.6279500630
  150.41566726,    0.1000000000,   -0.6483468579
  161.05899213,    0.1000000000,   -0.6588412784
  183.8728844,    0.1000000000,   -0.6802944392
  201.78125025,    0.1000000000,   -0.6962682298
  220.5565873,    0.1000000000,   -0.7123093592
  238.02519978,    0.1000000000,   -0.7266597787
  252.64340426,    0.1000000000,   -0.7385872850
  267.13316492,    0.1000000000,   -0.7494560479
  282.73777128,    0.1000000000,   -0.7603248107
  301.14546966,    0.1000000000,   -0.7722523171
  317.29152106,    0.1000000000,   -0.7820623364
  336.24066449,    0.1000000000,   -0.7929310993
  356.3046536,    0.1000000000,   -0.8037998621
  379.60612259,    0.1000000000,   -0.8157273685
  416.22963536,    0.1000000000,   -0.8332299200
  465.73963146,    0.1000000000,   -0.8549674457
  546.41739068,    0.1000000000,   -0.8809399455
  620.72775279,    0.1000000000,   -0.9026774712
  668.42285337,    0.1000000000,   -0.9157574969
  723.88032716,    0.1000000000,   -0.9302491807
  787.90365389,    0.1000000000,   -0.9461525226
  943.7037005,    0.1000000000,   -0.9622863620
  1099.6979465,    0.1000000000,   -0.9801614414
  1222.5843811,    0.1000000000,   -0.9959002054
  1344.8214941,    0.1000000000,   -1.0136344469
  1462.8507958,    0.1000000000,   -1.0337866798
  1548.9587688,    0.1000000000,   -1.0516617593
  1639.3974801,    0.1000000000,   -1.0640972977
  1724.9285175,    0.1000000000,   -1.0749647925
  1816.5184965,    0.1000000000,   -1.0858322873
  1928.757081,    0.1000000000,   -1.0982678258
  2017.8752793,    0.1000000000,   -1.1075672769
  2127.642083,    0.1000000000,   -1.1184347717
  2243.4678284,    0.1000000000,   -1.1293022665
  2607.5898268,    0.1000000000,   -1.1603367071
  2849.4870735,    0.1000000000,   -1.1789356093
  3200.6926146,    0.1000000000,   -1.2038066863
  3533.597658,    0.1000000000,   -1.2255416758
  3734.9670695,    0.1000000000,   -1.2379772143
  3917.4411724,    0.1000000000,   -1.2488447091
  4105.9742169,    0.1000000000,   -1.2597122039
  4329.1435016,    0.1000000000,   -1.2721477424
  4564.4798938,    0.1000000000,   -1.2859328400
  4852.7180674,    0.1000000000,   -1.3020423366
  5113.1272235,    0.1000000000,   -1.3159555985
  5397.869582,    0.1000000000,   -1.3305582172
  5802.9218391,    0.1000000000,   -1.3503708266
  6148.1527067,    0.1000000000,   -1.3664803232
  6264.2489447,    0.1000000000,   -1.3714179068
  6474.413807,    0.1000000000,   -1.3805611905
  6762.4297461,    0.1000000000,   -1.3935602246
  7020.0610652,    0.1000000000,   -1.4057037408
  7252.4787799,    0.1000000000,   -1.4171343254
  7603.955428,    0.1000000000,   -1.4354208929
  7930.3948507,    0.1000000000,   -1.4537074604
  8178.4735387,    0.1000000000,   -1.4686451818
  8404.7239777,    0.1000000000,   -1.4832401616
  8508.1620196,    0.1000000000,   -1.4902805953
  8615.0257127,    0.1000000000,   -1.4978351414
  8809.3784932,    0.1000000000,   -1.5124301212
  8875.7644825,    0.1000000000,   -1.5177104464
  8985.7802864,    0.1000000000,   -1.5268537302
  9089.5364099,    0.1000000000,   -1.5359970139
  9246.6626239,    0.1000000000,   -1.5510442110
  9363.2496513,    0.1000000000,   -1.5634268651
  9427.3015614,    0.1000000000,   -1.5708100404
  9541.9103093,    0.1000000000,   -1.5854050202
  9640.5701142,    0.1000000000,   -1.6000000000
  9640.5701142,    0.1000000000,   -1.6000000000
  9689.547172,    0.1000000000,   -1.6167852825
  9734.4716248,    0.1000000000,   -1.6335705650
  9765.2860042,    0.1000000000,   -1.6460671233
  9791.6953953,    0.1000000000,   -1.6575839042
  9812.1627863,    0.1000000000,   -1.6671411301
  9828.2703882,    0.1000000000,   -1.6751336252
  9841.3077007,    0.1000000000,   -1.6819639547
  9865.3691397,    0.1000000000,   -1.6956246139
  9886.0566434,    0.1000000000,   -1.7088160806
  9905.4393119,    0.1000000000,   -1.7229459321
  9918.9137165,    0.1000000000,   -1.7342822601
  9934.7725435,    0.1000000000,   -1.7502672503
  9945.4128064,    0.1000000000,   -1.7639279095
  9953.3688342,    0.1000000000,   -1.7775885686
  9958.64063,    0.1000000000,   -1.7912492277
  9960.4541101,    0.1000000000,   -1.7990906953
  9961.4822141,    0.1000000000,   -1.8090452301
  9961.131508,    0.1000000000,   -1.8185705460
  9964.7548821,    0.1000000000,   -1.8316196415
  9968.0336174,    0.1000000000,   -1.8441293446
  9972.9014556,    0.1000000000,   -1.8642257990
  9975.5260566,    0.1000000000,   -1.8760060749
  9979.2410709,    0.1000000000,   -1.8941681571
  9981.5660577,    0.1000000000,   -1.9066778602
  9984.6425335,    0.1000000000,   -1.9250994697
  9987.021554,    0.1000000000,   -1.9408972730
  9989.3114624,    0.1000000000,   -1.9575758169
  9991.2702898,    0.1000000000,   -1.9742543608
  9992.2917608,    0.1000000000,   -1.9843147736
  9993.7198006,    0.1000000000,   -2.0009933175
  9995.1602857,    0.1000000000,   -2.0242899925
  9995.7947889,    0.1000000000,   -2.0409685365
  9996.017434,    0.1000000000,   -2.0510289492
  9996.1211497,    0.1000000000,   -2.0677074932
  9996.5525732,    0.1000000000,   -2.0896540581
  9997.1034837,    0.1000000000,   -2.1087764164
  9997.3137818,    0.1000000000,   -2.1166395697
  9997.5984295,    0.1000000000,   -2.1278987748
  9997.9903599,    0.1000000000,   -2.1448488667
  9998.4998153,    0.1000000000,   -2.1704977456
  9998.7768647,    0.1000000000,   -2.1871628121
  9998.9781364,    0.1000000000,   -2.2012674606
  9999.1489598,    0.1000000000,   -2.2153721091
  9999.2575484,    0.1000000000,   -2.2259987118
  9999.3992616,    0.1000000000,   -2.2435814061
  9999.47874,    0.1000000000,   -2.2576860546
  9999.5432308,    0.1000000000,   -2.2808776416
  9999.5344855,    0.1000000000,   -2.3000000000
  9999.5344855,    0.1000000000,   -2.3000000000
  9999.592774,    0.1000000000,   -2.3142362726
  9999.6468758,    0.1000000000,   -2.3284725451
  9999.690074,    0.1000000000,   -2.3407213067
  9999.7236189,    0.1000000000,   -2.3509016334
  9999.784062,    0.1000000000,   -2.3711813628
  9999.8114085,    0.1000000000,   -2.3814426135
  9999.8266628,    0.1000000000,   -2.3875542946
  9999.8545866,    0.1000000000,   -2.3996539079
  9999.883569,    0.1000000000,   -2.4138901804
  9999.9083648,    0.1000000000,   -2.4281264530
  9999.9284833,    0.1000000000,   -2.4419865058
  9999.9453968,    0.1000000000,   -2.4565989981
  9999.957633,    0.1000000000,   -2.4708352706
  9999.9656825,    0.1000000000,   -2.4850715432
  9999.9695455,    0.1000000000,   -2.4993078157
  9999.9692219,    0.1000000000,   -2.5135440883
  9999.9647118,    0.1000000000,   -2.5277803608
  9999.9690708,    0.1000000000,   -2.5419999299
  9999.9748326,    0.1000000000,   -2.5630800382
  9999.9792288,    0.1000000000,   -2.5817115236
  9999.9828511,    0.1000000000,   -2.5996885778
  9999.9842656,    0.1000000000,   -2.6076773101
  9999.9858652,    0.1000000000,   -2.6176656321
  9999.9886843,    0.1000000000,   -2.6372521199
  9999.9906064,    0.1000000000,   -2.6519611725
  9999.992944,    0.1000000000,   -2.6721469075
  9999.9954146,    0.1000000000,   -2.6978093249
  9999.9969637,    0.1000000000,   -2.7179950599
  9999.9978738,    0.1000000000,   -2.7327041125
  9999.9988228,    0.1000000000,   -2.7528898475
  9999.9995281,    0.1000000000,   -2.7785522649
  9999.9996886,    0.1000000000,   -2.7987379998
  9999.999587,    0.1000000000,   -2.8134470524
  9999.9991474,    0.1000000000,   -2.8336327874
  9999.9990872,    0.1000000000,   -2.8513167888
  9999.9992154,    0.1000000000,   -2.8660902740
  9999.9992898,    0.1000000000,   -2.8757314269
  9999.9993694,    0.1000000000,   -2.8873130354
  9999.9994454,    0.1000000000,   -2.9001460649
  9999.9995275,    0.1000000000,   -2.9175225705
  9999.999554,    0.1000000000,   -2.9245607030
