{
FlexPDE Version 6.50/W64  16:07:14 Jan 31 2017
basismodel_sin_kort.pde  16:17:47 5/28/18
Title: Concentratie
from (0.1,0)
to (0.1,-5)
 Time 390
<c> , <X> , <Y> 
}
  10.,    0.1000000000,    0.0000000000
  10.44059644,    0.1000000000,   -0.0172810939
  11.012130615,    0.1000000000,   -0.0345621878
  11.631917049,    0.1000000000,   -0.0499651665
  12.210929165,    0.1000000000,   -0.0624564581
  12.721232867,    0.1000000000,   -0.0723275552
  13.602971465,    0.1000000000,   -0.0874390414
  14.423420315,    0.1000000000,   -0.0999303330
  15.897960047,    0.1000000000,   -0.1209676574
  17.309816368,    0.1000000000,   -0.1382487513
  18.892243594,    0.1000000000,   -0.1555298453
  19.970473657,    0.1000000000,   -0.1662675629
  21.485776162,    0.1000000000,   -0.1802689719
  22.301516937,    0.1000000000,   -0.1873693744
  23.813858909,    0.1000000000,   -0.1998606660
  25.123713131,    0.1000000000,   -0.2096429194
  27.63055066,    0.1000000000,   -0.2269481086
  29.259884226,    0.1000000000,   -0.2373867911
  31.328455643,    0.1000000000,   -0.2498954995
  33.523641644,    0.1000000000,   -0.2624042079
  35.150260173,    0.1000000000,   -0.2712383959
  38.293857401,    0.1000000000,   -0.2874216246
  40.868887156,    0.1000000000,   -0.2999303330
  43.570531497,    0.1000000000,   -0.3124390414
  46.398790421,    0.1000000000,   -0.3249477498
  48.911726237,    0.1000000000,   -0.3356191979
  52.435149317,    0.1000000000,   -0.3499651665
  55.643251889,    0.1000000000,   -0.3624738749
  61.097081283,    0.1000000000,   -0.3826948109
  66.027247114,    0.1000000000,   -0.4000000000
  66.027247114,    0.1000000000,   -0.4000000000
  71.565267658,    0.1000000000,   -0.4145233167
  77.810013261,    0.1000000000,   -0.4290466334
  83.620175712,    0.1000000000,   -0.4412834008
  88.910668902,    0.1000000000,   -0.4516042510
  100.01848008,    0.1000000000,   -0.4713357150
  106.92357597,    0.1000000000,   -0.4825668016
  111.47728371,    0.1000000000,   -0.4896218266
  119.63468843,    0.1000000000,   -0.5016632169
  130.11980874,    0.1000000000,   -0.5161865337
  141.31165727,    0.1000000000,   -0.5307098504
  153.21023989,    0.1000000000,   -0.5452331671
  165.81554598,    0.1000000000,   -0.5597564838
  179.12758028,    0.1000000000,   -0.5742798005
  186.83989885,    0.1000000000,   -0.5823600504
  195.80541685,    0.1000000000,   -0.5914780529
  207.87184393,    0.1000000000,   -0.6033264339
  214.57216137,    0.1000000000,   -0.6097140580
  223.30406401,    0.1000000000,   -0.6178497506
  234.45313812,    0.1000000000,   -0.6279500630
  257.69616992,    0.1000000000,   -0.6483468579
  271.86832662,    0.1000000000,   -0.6588412784
  306.2194174,    0.1000000000,   -0.6802944392
  336.48950727,    0.1000000000,   -0.6962682298
  370.91819394,    0.1000000000,   -0.7123093592
  405.1414588,    0.1000000000,   -0.7266597787
  430.96774251,    0.1000000000,   -0.7385872850
  458.07264546,    0.1000000000,   -0.7494560479
  488.58278948,    0.1000000000,   -0.7603248107
  525.98392455,    0.1000000000,   -0.7722523171
  559.81880074,    0.1000000000,   -0.7820623364
  600.54466798,    0.1000000000,   -0.7929310993
  644.6757763,    0.1000000000,   -0.8037998621
  697.02470793,    0.1000000000,   -0.8157273685
  781.26642702,    0.1000000000,   -0.8332299200
  898.1855617,    0.1000000000,   -0.8549674457
  1057.8854872,    0.1000000000,   -0.8809399455
  1208.2666959,    0.1000000000,   -0.9026774712
  1306.0977689,    0.1000000000,   -0.9157574969
  1420.9291121,    0.1000000000,   -0.9302491807
  1554.7400465,    0.1000000000,   -0.9461525226
  1738.6796592,    0.1000000000,   -0.9622863620
  1935.8854371,    0.1000000000,   -0.9801614414
  2103.7910525,    0.1000000000,   -0.9959002054
  2286.5542368,    0.1000000000,   -1.0136344469
  2485.965367,    0.1000000000,   -1.0337866798
  2655.479979,    0.1000000000,   -1.0516617593
  2859.5239721,    0.1000000000,   -1.0640972977
  3041.2123863,    0.1000000000,   -1.0749647925
  3226.0468643,    0.1000000000,   -1.0858322873
  3441.4102918,    0.1000000000,   -1.0982678258
  3605.1540116,    0.1000000000,   -1.1075672769
  3799.426681,    0.1000000000,   -1.1184347717
  3996.8454141,    0.1000000000,   -1.1293022665
  4577.9369891,    0.1000000000,   -1.1603367071
  4938.4798878,    0.1000000000,   -1.1789356093
  5435.0095797,    0.1000000000,   -1.2038066863
  5882.4222578,    0.1000000000,   -1.2255416758
  6144.066255,    0.1000000000,   -1.2379772143
  6376.09169,    0.1000000000,   -1.2488447091
  6611.2631888,    0.1000000000,   -1.2597122039
  6884.2266205,    0.1000000000,   -1.2721477424
  7138.3816722,    0.1000000000,   -1.2859328400
  7422.4639135,    0.1000000000,   -1.3020423366
  7656.6039426,    0.1000000000,   -1.3159555985
  7891.1668862,    0.1000000000,   -1.3305582172
  8191.1151359,    0.1000000000,   -1.3503708266
  8419.4669332,    0.1000000000,   -1.3664803232
  8476.6919044,    0.1000000000,   -1.3714179068
  8579.4086737,    0.1000000000,   -1.3805611905
  8718.1723753,    0.1000000000,   -1.3935602246
  8840.0935783,    0.1000000000,   -1.4057037408
  8948.0517605,    0.1000000000,   -1.4171343254
  9107.0393277,    0.1000000000,   -1.4354208929
  9249.1375776,    0.1000000000,   -1.4537074604
  9352.6800821,    0.1000000000,   -1.4686451818
  9442.961927,    0.1000000000,   -1.4832401616
  9482.666125,    0.1000000000,   -1.4902805953
  9522.4852288,    0.1000000000,   -1.4978351414
  9591.2499299,    0.1000000000,   -1.5124301212
  9613.4780169,    0.1000000000,   -1.5177104464
  9648.6374028,    0.1000000000,   -1.5268537302
  9679.5743526,    0.1000000000,   -1.5359970139
  9721.2955538,    0.1000000000,   -1.5510442110
  9747.051411,    0.1000000000,   -1.5634268651
  9758.7230412,    0.1000000000,   -1.5708100404
  9773.6948795,    0.1000000000,   -1.5854050202
  9777.9081495,    0.1000000000,   -1.6000000000
  9777.9081495,    0.1000000000,   -1.6000000000
  9803.1220614,    0.1000000000,   -1.6167852825
  9826.4900691,    0.1000000000,   -1.6335705650
  9842.6887572,    0.1000000000,   -1.6460671233
  9856.7114314,    0.1000000000,   -1.6575839042
  9867.6884094,    0.1000000000,   -1.6671411301
  9876.4087055,    0.1000000000,   -1.6751336252
  9883.5293568,    0.1000000000,   -1.6819639547
  9896.8536816,    0.1000000000,   -1.6956246139
  9908.5600104,    0.1000000000,   -1.7088160806
  9919.8344381,    0.1000000000,   -1.7229459321
  9927.9341758,    0.1000000000,   -1.7342822601
  9937.9246704,    0.1000000000,   -1.7502672503
  9945.1358399,    0.1000000000,   -1.7639279095
  9951.1243785,    0.1000000000,   -1.7775885686
  9955.8902875,    0.1000000000,   -1.7912492277
  9958.0736724,    0.1000000000,   -1.7990906953
  9960.2651036,    0.1000000000,   -1.8090452301
  9961.7542086,    0.1000000000,   -1.8185705460
  9965.1704018,    0.1000000000,   -1.8316196415
  9968.2764574,    0.1000000000,   -1.8441293446
  9972.920049,    0.1000000000,   -1.8642257990
  9975.4436631,    0.1000000000,   -1.8760060749
  9979.0470981,    0.1000000000,   -1.8941681571
  9981.3263574,    0.1000000000,   -1.9066778602
  9984.3817207,    0.1000000000,   -1.9250994697
  9986.6984936,    0.1000000000,   -1.9408972730
  9988.8483668,    0.1000000000,   -1.9575758169
  9990.7274718,    0.1000000000,   -1.9742543608
  9991.7300171,    0.1000000000,   -1.9843147736
  9993.1750279,    0.1000000000,   -2.0009933175
  9994.7401779,    0.1000000000,   -2.0242899925
  9995.5362102,    0.1000000000,   -2.0409685365
  9995.8854514,    0.1000000000,   -2.0510289492
  9996.2473895,    0.1000000000,   -2.0677074932
  9996.7830418,    0.1000000000,   -2.0896540581
  9997.3163548,    0.1000000000,   -2.1087764164
  9997.5197557,    0.1000000000,   -2.1166395697
  9997.7948712,    0.1000000000,   -2.1278987748
  9998.1732152,    0.1000000000,   -2.1448488667
  9998.6638569,    0.1000000000,   -2.1704977456
  9998.9298087,    0.1000000000,   -2.1871628121
  9999.122381,    0.1000000000,   -2.2012674606
  9999.2851405,    0.1000000000,   -2.2153721091
  9999.3880735,    0.1000000000,   -2.2259987118
  9999.5212211,    0.1000000000,   -2.2435814061
  9999.5945423,    0.1000000000,   -2.2576860546
  9999.6502905,    0.1000000000,   -2.2808776416
  9999.6356292,    0.1000000000,   -2.3000000000
  9999.6356292,    0.1000000000,   -2.3000000000
  9999.6837673,    0.1000000000,   -2.3142362726
  9999.7283523,    0.1000000000,   -2.3284725451
  9999.763869,    0.1000000000,   -2.3407213067
  9999.7913864,    0.1000000000,   -2.3509016334
  9999.8407875,    0.1000000000,   -2.3711813628
  9999.8630366,    0.1000000000,   -2.3814426135
  9999.8754112,    0.1000000000,   -2.3875542946
  9999.8979782,    0.1000000000,   -2.3996539079
  9999.9212436,    0.1000000000,   -2.4138901804
  9999.9409558,    0.1000000000,   -2.4281264530
  9999.9567334,    0.1000000000,   -2.4419865058
  9999.9697205,    0.1000000000,   -2.4565989981
  9999.9787729,    0.1000000000,   -2.4708352706
  9999.9842721,    0.1000000000,   -2.4850715432
  9999.9862181,    0.1000000000,   -2.4993078157
  9999.9846108,    0.1000000000,   -2.5135440883
  9999.9794503,    0.1000000000,   -2.5277803608
  9999.9821659,    0.1000000000,   -2.5419999299
  9999.9856827,    0.1000000000,   -2.5630800382
  9999.9882847,    0.1000000000,   -2.5817115236
  9999.9903452,    0.1000000000,   -2.5996885778
  9999.9911189,    0.1000000000,   -2.6076773101
  9999.9919634,    0.1000000000,   -2.6176656321
  9999.9935838,    0.1000000000,   -2.6372521199
  9999.9947289,    0.1000000000,   -2.6519611725
  9999.9961174,    0.1000000000,   -2.6721469075
  9999.9975767,    0.1000000000,   -2.6978093249
  9999.998484,    0.1000000000,   -2.7179950599
  9999.9990118,    0.1000000000,   -2.7327041125
  9999.9995529,    0.1000000000,   -2.7528898475
  9999.999935,    0.1000000000,   -2.7785522649
  9999.999995,    0.1000000000,   -2.7987379998
  9999.9999054,    0.1000000000,   -2.8134470524
  9999.9995992,    0.1000000000,   -2.8336327874
  9999.9995427,    0.1000000000,   -2.8513167888
  9999.9996089,    0.1000000000,   -2.8660902740
  9999.9996462,    0.1000000000,   -2.8757314269
  9999.9996847,    0.1000000000,   -2.8873130354
  9999.9997195,    0.1000000000,   -2.9001460649
  9999.9997532,    0.1000000000,   -2.9175225705
  9999.9997625,    0.1000000000,   -2.9245607030
