{
FlexPDE Version 6.50/W64  16:07:14 Jan 31 2017
basismodel_sin_kort.pde  16:17:47 5/28/18
Title: Concentratie
from (0.1,0)
to (0.1,-5)
 Time 300
<c> , <X> , <Y> 
}
  10.,    0.1000000000,    0.0000000000
  11.341182759,    0.1000000000,   -0.0172810939
  12.491569138,    0.1000000000,   -0.0345621878
  13.356113549,    0.1000000000,   -0.0499651665
  13.945923809,    0.1000000000,   -0.0624564581
  14.430067253,    0.1000000000,   -0.0723275552
  15.220660342,    0.1000000000,   -0.0874390414
  15.901110421,    0.1000000000,   -0.0999303330
  16.932477698,    0.1000000000,   -0.1209676574
  18.078019838,    0.1000000000,   -0.1382487513
  19.446082266,    0.1000000000,   -0.1555298453
  20.409039866,    0.1000000000,   -0.1662675629
  21.794670359,    0.1000000000,   -0.1802689719
  22.553578469,    0.1000000000,   -0.1873693744
  23.980518555,    0.1000000000,   -0.1998606660
  25.140683202,    0.1000000000,   -0.2096429194
  27.461991905,    0.1000000000,   -0.2269481086
  29.028392158,    0.1000000000,   -0.2373867911
  31.07009647,    0.1000000000,   -0.2498954995
  33.291340426,    0.1000000000,   -0.2624042079
  34.968250087,    0.1000000000,   -0.2712383959
  38.272447267,    0.1000000000,   -0.2874216246
  41.032310153,    0.1000000000,   -0.2999303330
  43.971712682,    0.1000000000,   -0.3124390414
  47.090654854,    0.1000000000,   -0.3249477498
  49.893414493,    0.1000000000,   -0.3356191979
  53.867154579,    0.1000000000,   -0.3499651665
  57.524715509,    0.1000000000,   -0.3624738749
  63.817046803,    0.1000000000,   -0.3826948109
  69.574636158,    0.1000000000,   -0.4000000000
  69.574636158,    0.1000000000,   -0.4000000000
  71.199273807,    0.1000000000,   -0.4145233167
  74.211933451,    0.1000000000,   -0.4290466334
  77.827731581,    0.1000000000,   -0.4412834008
  81.643429222,    0.1000000000,   -0.4516042510
  90.889387448,    0.1000000000,   -0.4713357150
  97.296336997,    0.1000000000,   -0.4825668016
  101.74548061,    0.1000000000,   -0.4896218266
  110.0957837,    0.1000000000,   -0.5016632169
  121.43665337,    0.1000000000,   -0.5161865337
  134.16555553,    0.1000000000,   -0.5307098504
  148.28249765,    0.1000000000,   -0.5452331671
  163.78746707,    0.1000000000,   -0.5597564838
  180.68046899,    0.1000000000,   -0.5742798005
  190.68008233,    0.1000000000,   -0.5823600504
  202.47991156,    0.1000000000,   -0.5914780529
  218.63058677,    0.1000000000,   -0.6033264339
  227.72090054,    0.1000000000,   -0.6097140580
  239.68768845,    0.1000000000,   -0.6178497506
  255.15028178,    0.1000000000,   -0.6279500630
  265.57546979,    0.1000000000,   -0.6483468579
  270.66808208,    0.1000000000,   -0.6588412784
  288.06370209,    0.1000000000,   -0.6802944392
  307.10928723,    0.1000000000,   -0.6962682298
  331.46905775,    0.1000000000,   -0.7123093592
  357.7062093,    0.1000000000,   -0.7266597787
  380.05537859,    0.1000000000,   -0.7385872850
  405.03833376,    0.1000000000,   -0.7494560479
  434.42444505,    0.1000000000,   -0.7603248107
  471.74051849,    0.1000000000,   -0.7722523171
  506.406136,    0.1000000000,   -0.7820623364
  549.00171566,    0.1000000000,   -0.7929310993
  596.00045144,    0.1000000000,   -0.8037998621
  652.64482278,    0.1000000000,   -0.8157273685
  745.36539991,    0.1000000000,   -0.8332299200
  876.41778106,    0.1000000000,   -0.8549674457
  1052.5832375,    0.1000000000,   -0.8809399455
  1216.041682,    0.1000000000,   -0.9026774712
  1321.4327502,    0.1000000000,   -0.9157574969
  1444.3689419,    0.1000000000,   -0.9302491807
  1586.7463407,    0.1000000000,   -0.9461525226
  1744.1797338,    0.1000000000,   -0.9622863620
  1932.4447396,    0.1000000000,   -0.9801614414
  2110.2541069,    0.1000000000,   -0.9959002054
  2324.1225337,    0.1000000000,   -1.0136344469
  2584.5338088,    0.1000000000,   -1.0337866798
  2830.9953267,    0.1000000000,   -1.0516617593
  3029.1209079,    0.1000000000,   -1.0640972977
  3205.4883899,    0.1000000000,   -1.0749647925
  3384.8631544,    0.1000000000,   -1.0858322873
  3593.80884,    0.1000000000,   -1.0982678258
  3752.6345314,    0.1000000000,   -1.1075672769
  3941.0311439,    0.1000000000,   -1.1184347717
  4132.435039,    0.1000000000,   -1.1293022665
  4695.5859169,    0.1000000000,   -1.1603367071
  5044.8345955,    0.1000000000,   -1.1789356093
  5525.6260668,    0.1000000000,   -1.2038066863
  5958.6898377,    0.1000000000,   -1.2255416758
  6211.8745351,    0.1000000000,   -1.2379772143
  6436.3585392,    0.1000000000,   -1.2488447091
  6663.8498259,    0.1000000000,   -1.2597122039
  6927.8546277,    0.1000000000,   -1.2721477424
  7180.0652484,    0.1000000000,   -1.2859328400
  7464.369654,    0.1000000000,   -1.3020423366
  7700.8651621,    0.1000000000,   -1.3159555985
  7940.0571314,    0.1000000000,   -1.3305582172
  8249.8177611,    0.1000000000,   -1.3503708266
  8489.1453413,    0.1000000000,   -1.3664803232
  8543.762367,    0.1000000000,   -1.3714179068
  8641.7681037,    0.1000000000,   -1.3805611905
  8774.0986436,    0.1000000000,   -1.3935602246
  8890.2906331,    0.1000000000,   -1.4057037408
  8993.1036178,    0.1000000000,   -1.4171343254
  9144.3593068,    0.1000000000,   -1.4354208929
  9279.3402837,    0.1000000000,   -1.4537074604
  9377.5249906,    0.1000000000,   -1.4686451818
  9462.9680802,    0.1000000000,   -1.4832401616
  9500.4781013,    0.1000000000,   -1.4902805953
  9538.0441274,    0.1000000000,   -1.4978351414
  9602.7530845,    0.1000000000,   -1.5124301212
  9623.6102887,    0.1000000000,   -1.5177104464
  9656.5170706,    0.1000000000,   -1.5268537302
  9685.3550746,    0.1000000000,   -1.5359970139
  9723.9565173,    0.1000000000,   -1.5510442110
  9747.4571917,    0.1000000000,   -1.5634268651
  9757.9182767,    0.1000000000,   -1.5708100404
  9770.7919045,    0.1000000000,   -1.5854050202
  9773.2984645,    0.1000000000,   -1.6000000000
  9773.2984645,    0.1000000000,   -1.6000000000
  9798.1061091,    0.1000000000,   -1.6167852825
  9821.1542167,    0.1000000000,   -1.6335705650
  9837.1708254,    0.1000000000,   -1.6460671233
  9851.0680843,    0.1000000000,   -1.6575839042
  9861.9718566,    0.1000000000,   -1.6671411301
  9870.6524316,    0.1000000000,   -1.6751336252
  9877.7546549,    0.1000000000,   -1.6819639547
  9891.0850283,    0.1000000000,   -1.6956246139
  9902.8514895,    0.1000000000,   -1.7088160806
  9914.2494971,    0.1000000000,   -1.7229459321
  9922.4926308,    0.1000000000,   -1.7342822601
  9932.7522621,    0.1000000000,   -1.7502672503
  9940.2555057,    0.1000000000,   -1.7639279095
  9946.5933233,    0.1000000000,   -1.7775885686
  9951.7657164,    0.1000000000,   -1.7912492277
  9954.2082737,    0.1000000000,   -1.7990906953
  9956.7558691,    0.1000000000,   -1.8090452301
  9958.6142213,    0.1000000000,   -1.8185705460
  9962.4183957,    0.1000000000,   -1.8316196415
  9965.8753025,    0.1000000000,   -1.8441293446
  9971.0392995,    0.1000000000,   -1.8642257990
  9973.8431962,    0.1000000000,   -1.8760060749
  9977.8428786,    0.1000000000,   -1.8941681571
  9980.3697537,    0.1000000000,   -1.9066778602
  9983.752164,    0.1000000000,   -1.9250994697
  9986.2799017,    0.1000000000,   -1.9408972730
  9988.5770068,    0.1000000000,   -1.9575758169
  9990.5806607,    0.1000000000,   -1.9742543608
  9991.6473657,    0.1000000000,   -1.9843147736
  9993.1805602,    0.1000000000,   -2.0009933175
  9994.8309158,    0.1000000000,   -2.0242899925
  9995.6607652,    0.1000000000,   -2.0409685365
  9996.019437,    0.1000000000,   -2.0510289492
  9996.378827,    0.1000000000,   -2.0677074932
  9996.9301788,    0.1000000000,   -2.0896540581
  9997.486544,    0.1000000000,   -2.1087764164
  9997.6976086,    0.1000000000,   -2.1166395697
  9997.9818556,    0.1000000000,   -2.1278987748
  9998.3698555,    0.1000000000,   -2.1448488667
  9998.8657604,    0.1000000000,   -2.1704977456
  9999.1290986,    0.1000000000,   -2.1871628121
  9999.3157457,    0.1000000000,   -2.2012674606
  9999.4691758,    0.1000000000,   -2.2153721091
  9999.5628315,    0.1000000000,   -2.2259987118
  9999.6763852,    0.1000000000,   -2.2435814061
  9999.7301644,    0.1000000000,   -2.2576860546
  9999.7463803,    0.1000000000,   -2.2808776416
  9999.6922001,    0.1000000000,   -2.3000000000
  9999.6922001,    0.1000000000,   -2.3000000000
  9999.7361821,    0.1000000000,   -2.3142362726
  9999.7767558,    0.1000000000,   -2.3284725451
  9999.8089373,    0.1000000000,   -2.3407213067
  9999.8337643,    0.1000000000,   -2.3509016334
  9999.8780268,    0.1000000000,   -2.3711813628
  9999.8977879,    0.1000000000,   -2.3814426135
  9999.9087163,    0.1000000000,   -2.3875542946
  9999.9284991,    0.1000000000,   -2.3996539079
  9999.9486228,    0.1000000000,   -2.4138901804
  9999.9653381,    0.1000000000,   -2.4281264530
  9999.9783373,    0.1000000000,   -2.4419865058
  9999.9885437,    0.1000000000,   -2.4565989981
  9999.995034,    0.1000000000,   -2.4708352706
  9999.998116,    0.1000000000,   -2.4850715432
  9999.9977897,    0.1000000000,   -2.4993078157
  9999.994055,    0.1000000000,   -2.5135440883
  9999.9869119,    0.1000000000,   -2.5277803608
  9999.9887229,    0.1000000000,   -2.5419999299
  9999.9910394,    0.1000000000,   -2.5630800382
  9999.9927205,    0.1000000000,   -2.5817115236
  9999.9940169,    0.1000000000,   -2.5996885778
  9999.9944903,    0.1000000000,   -2.6076773101
  9999.9949934,    0.1000000000,   -2.6176656321
  9999.9960182,    0.1000000000,   -2.6372521199
  9999.9967591,    0.1000000000,   -2.6519611725
  9999.9976553,    0.1000000000,   -2.6721469075
  9999.9985932,    0.1000000000,   -2.6978093249
  9999.9991724,    0.1000000000,   -2.7179950599
  9999.9995066,    0.1000000000,   -2.7327041125
  9999.9998446,    0.1000000000,   -2.7528898475
  10000.000073,    0.1000000000,   -2.7785522649
  10000.000094,    0.1000000000,   -2.7987379998
  10000.000021,    0.1000000000,   -2.8134470524
  9999.9998009,    0.1000000000,   -2.8336327874
  9999.9997593,    0.1000000000,   -2.8513167888
  9999.9998025,    0.1000000000,   -2.8660902740
  9999.9998259,    0.1000000000,   -2.8757314269
  9999.9998491,    0.1000000000,   -2.8873130354
  9999.9998685,    0.1000000000,   -2.9001460649
  9999.9998843,    0.1000000000,   -2.9175225705
  9999.9998873,    0.1000000000,   -2.9245607030
