{
FlexPDE Version 6.50/W64  16:07:14 Jan 31 2017
basismodel_sin_kort.pde  16:17:47 5/28/18
Title: Concentratie
from (0.1,0)
to (0.1,-5)
 Time 180
<c> , <X> , <Y> 
}
  10.,    0.1000000000,    0.0000000000
  9.9907480464,    0.1000000000,   -0.0172810939
  10.0760106,    0.1000000000,   -0.0345621878
  10.231671585,    0.1000000000,   -0.0499651665
  10.413045034,    0.1000000000,   -0.0624564581
  10.712919186,    0.1000000000,   -0.0782435590
  10.938268045,    0.1000000000,   -0.0880240039
  11.253458952,    0.1000000000,   -0.0999303330
  11.920040748,    0.1000000000,   -0.1209676574
  12.572390288,    0.1000000000,   -0.1382487513
  13.338201014,    0.1000000000,   -0.1555298453
  13.934108501,    0.1000000000,   -0.1662675629
  14.849372813,    0.1000000000,   -0.1802689719
  15.373316063,    0.1000000000,   -0.1873693744
  16.392722936,    0.1000000000,   -0.1998606660
  17.297497336,    0.1000000000,   -0.2096429194
  19.17955937,    0.1000000000,   -0.2269481086
  20.48875282,    0.1000000000,   -0.2373867911
  22.2299294,    0.1000000000,   -0.2498954995
  24.159022452,    0.1000000000,   -0.2624042079
  25.63465002,    0.1000000000,   -0.2712383959
  28.580957968,    0.1000000000,   -0.2874216246
  31.073800432,    0.1000000000,   -0.2999303330
  33.754559367,    0.1000000000,   -0.3124390414
  36.623234774,    0.1000000000,   -0.3249477498
  39.21910803,    0.1000000000,   -0.3356191979
  42.924331983,    0.1000000000,   -0.3499651665
  46.356756637,    0.1000000000,   -0.3624738749
  52.302860255,    0.1000000000,   -0.3826948109
  57.781529424,    0.1000000000,   -0.4000000000
  57.781529424,    0.1000000000,   -0.4000000000
  62.320893725,    0.1000000000,   -0.4145233167
  67.67161803,    0.1000000000,   -0.4290466334
  72.809746207,    0.1000000000,   -0.4412834008
  77.591171921,    0.1000000000,   -0.4516042510
  87.872828391,    0.1000000000,   -0.4713357150
  94.393933963,    0.1000000000,   -0.4825668016
  98.738439561,    0.1000000000,   -0.4896218266
  106.59580616,    0.1000000000,   -0.5016632169
  116.81475104,    0.1000000000,   -0.5161865337
  127.84506443,    0.1000000000,   -0.5307098504
  139.68674167,    0.1000000000,   -0.5452331671
  152.33979258,    0.1000000000,   -0.5597564838
  165.80421201,    0.1000000000,   -0.5742798005
  173.64661456,    0.1000000000,   -0.5823600504
  182.79780949,    0.1000000000,   -0.5914780529
  195.16715366,    0.1000000000,   -0.6033264339
  202.05968314,    0.1000000000,   -0.6097140580
  211.06567912,    0.1000000000,   -0.6178497506
  222.60074576,    0.1000000000,   -0.6279500630
  254.48152998,    0.1000000000,   -0.6483468579
  272.42084318,    0.1000000000,   -0.6588412784
  310.06572687,    0.1000000000,   -0.6802944392
  338.94396689,    0.1000000000,   -0.6962682298
  368.67261121,    0.1000000000,   -0.7123093592
  395.88673877,    0.1000000000,   -0.7266597787
  417.82838897,    0.1000000000,   -0.7385872850
  439.85991326,    0.1000000000,   -0.7494560479
  463.83433769,    0.1000000000,   -0.7603248107
  492.3801342,    0.1000000000,   -0.7722523171
  517.61188697,    0.1000000000,   -0.7820623364
  547.41501182,    0.1000000000,   -0.7929310993
  579.16103681,    0.1000000000,   -0.8037998621
  616.23546034,    0.1000000000,   -0.8157273685
  674.87495982,    0.1000000000,   -0.8332299200
  754.71754311,    0.1000000000,   -0.8549674457
  897.18247532,    0.1000000000,   -0.8809399455
  1029.2239055,    0.1000000000,   -0.9026774712
  1114.3002531,    0.1000000000,   -0.9157574969
  1213.4920154,    0.1000000000,   -0.9302491807
  1328.3151149,    0.1000000000,   -0.9461525226
  1649.8730292,    0.1000000000,   -0.9622863620
  1966.5002573,    0.1000000000,   -0.9801614414
  2210.7932295,    0.1000000000,   -0.9959002054
  2447.3564877,    0.1000000000,   -1.0136344469
  2666.3953345,    0.1000000000,   -1.0337866798
  2816.3654587,    0.1000000000,   -1.0516617593
  3010.7082247,    0.1000000000,   -1.0640972977
  3184.5226192,    0.1000000000,   -1.0749647925
  3362.0463849,    0.1000000000,   -1.0858322873
  3569.7353467,    0.1000000000,   -1.0982678258
  3728.2220298,    0.1000000000,   -1.1075672769
  3916.8739091,    0.1000000000,   -1.1184347717
  4109.2351595,    0.1000000000,   -1.1293022665
  4678.9852507,    0.1000000000,   -1.1603367071
  5034.9327049,    0.1000000000,   -1.1789356093
  5527.8955604,    0.1000000000,   -1.2038066863
  5974.6069423,    0.1000000000,   -1.2255416758
  6236.8630782,    0.1000000000,   -1.2379772143
  6470.0274115,    0.1000000000,   -1.2488447091
  6706.901116,    0.1000000000,   -1.2597122039
  6982.5034478,    0.1000000000,   -1.2721477424
  7228.3086725,    0.1000000000,   -1.2859328400
  7509.2052702,    0.1000000000,   -1.3020423366
  7746.2943609,    0.1000000000,   -1.3159555985
  7989.6350772,    0.1000000000,   -1.3305582172
  8310.7980069,    0.1000000000,   -1.3503708266
  8564.296507,    0.1000000000,   -1.3664803232
  8621.4115882,    0.1000000000,   -1.3714179068
  8723.5166558,    0.1000000000,   -1.3805611905
  8860.4981125,    0.1000000000,   -1.3935602246
  8979.7863071,    0.1000000000,   -1.4057037408
  9084.4117168,    0.1000000000,   -1.4171343254
  9236.3445299,    0.1000000000,   -1.4354208929
  9369.2675313,    0.1000000000,   -1.4537074604
  9463.7415027,    0.1000000000,   -1.4686451818
  9543.7962736,    0.1000000000,   -1.4832401616
  9578.0840992,    0.1000000000,   -1.4902805953
  9611.7417252,    0.1000000000,   -1.4978351414
  9667.5778219,    0.1000000000,   -1.5124301212
  9684.7957243,    0.1000000000,   -1.5177104464
  9710.8614204,    0.1000000000,   -1.5268537302
  9732.1745888,    0.1000000000,   -1.5359970139
  9756.9036975,    0.1000000000,   -1.5510442110
  9767.5994951,    0.1000000000,   -1.5634268651
  9769.8288467,    0.1000000000,   -1.5708100404
  9765.118249,    0.1000000000,   -1.5854050202
  9748.2983232,    0.1000000000,   -1.6000000000
  9748.2983232,    0.1000000000,   -1.6000000000
  9776.7466198,    0.1000000000,   -1.6167852825
  9803.0851066,    0.1000000000,   -1.6335705650
  9821.3239273,    0.1000000000,   -1.6460671233
  9837.0972545,    0.1000000000,   -1.6575839042
  9849.4326901,    0.1000000000,   -1.6671411301
  9859.2233404,    0.1000000000,   -1.6751336252
  9867.2112917,    0.1000000000,   -1.6819639547
  9882.1391194,    0.1000000000,   -1.6956246139
  9895.2279824,    0.1000000000,   -1.7088160806
  9907.8024894,    0.1000000000,   -1.7229459321
  9916.8100704,    0.1000000000,   -1.7342822601
  9927.8761457,    0.1000000000,   -1.7502672503
  9935.8168312,    0.1000000000,   -1.7639279095
  9942.3600882,    0.1000000000,   -1.7775885686
  9947.505918,    0.1000000000,   -1.7912492277
  9949.8284188,    0.1000000000,   -1.7990906953
  9952.1134865,    0.1000000000,   -1.8090452301
  9953.6052893,    0.1000000000,   -1.8185705460
  9957.9979516,    0.1000000000,   -1.8316196415
  9961.9754562,    0.1000000000,   -1.8441293446
  9967.8864974,    0.1000000000,   -1.8642257990
  9971.0771365,    0.1000000000,   -1.8760060749
  9975.5989782,    0.1000000000,   -1.8941681571
  9978.4332276,    0.1000000000,   -1.9066778602
  9982.1906366,    0.1000000000,   -1.9250994697
  9985.0617946,    0.1000000000,   -1.9408972730
  9987.8013355,    0.1000000000,   -1.9575758169
  9990.1914369,    0.1000000000,   -1.9742543608
  9991.4641735,    0.1000000000,   -1.9843147736
  9993.2940548,    0.1000000000,   -2.0009933175
  9995.2651029,    0.1000000000,   -2.0242899925
  9996.2574456,    0.1000000000,   -2.0409685365
  9996.687061,    0.1000000000,   -2.0510289492
  9997.1191837,    0.1000000000,   -2.0677074932
  9997.6275206,    0.1000000000,   -2.0896540581
  9998.1166156,    0.1000000000,   -2.1087764164
  9998.3009971,    0.1000000000,   -2.1166395697
  9998.54803,    0.1000000000,   -2.1278987748
  9998.8822116,    0.1000000000,   -2.1448488667
  9999.3017183,    0.1000000000,   -2.1704977456
  9999.5186702,    0.1000000000,   -2.1871628121
  9999.6680596,    0.1000000000,   -2.2012674606
  9999.7860671,    0.1000000000,   -2.2153721091
  9999.8542472,    0.1000000000,   -2.2259987118
  9999.9279371,    0.1000000000,   -2.2435814061
  9999.9517995,    0.1000000000,   -2.2576860546
  9999.9228142,    0.1000000000,   -2.2808776416
  9999.835096,    0.1000000000,   -2.3000000000
  9999.835096,    0.1000000000,   -2.3000000000
  9999.8603289,    0.1000000000,   -2.3142362726
  9999.8835168,    0.1000000000,   -2.3284725451
  9999.9018308,    0.1000000000,   -2.3407213067
  9999.9159002,    0.1000000000,   -2.3509016334
  9999.9408107,    0.1000000000,   -2.3711813628
  9999.951834,    0.1000000000,   -2.3814426135
  9999.9578947,    0.1000000000,   -2.3875542946
  9999.9687818,    0.1000000000,   -2.3996539079
  9999.9796998,    0.1000000000,   -2.4138901804
  9999.9885729,    0.1000000000,   -2.4281264530
  9999.9952468,    0.1000000000,   -2.4419865058
  10000.000184,    0.1000000000,   -2.4565989981
  10000.002922,    0.1000000000,   -2.4708352706
  10000.003615,    0.1000000000,   -2.4850715432
  10000.002263,    0.1000000000,   -2.4993078157
  9999.9988667,    0.1000000000,   -2.5135440883
  9999.9934249,    0.1000000000,   -2.5277803608
  9999.9945302,    0.1000000000,   -2.5419999299
  9999.995904,    0.1000000000,   -2.5630800382
  9999.9968548,    0.1000000000,   -2.5817115236
  9999.9975379,    0.1000000000,   -2.5996885778
  9999.9977676,    0.1000000000,   -2.6076773101
  9999.9979909,    0.1000000000,   -2.6176656321
  9999.9983952,    0.1000000000,   -2.6372521199
  9999.9986869,    0.1000000000,   -2.6519611725
  9999.9990395,    0.1000000000,   -2.6721469075
  9999.999408,    0.1000000000,   -2.6978093249
  9999.9996352,    0.1000000000,   -2.7179950599
  9999.9997659,    0.1000000000,   -2.7327041125
  9999.9998976,    0.1000000000,   -2.7528898475
  9999.9999853,    0.1000000000,   -2.7785522649
  9999.9999915,    0.1000000000,   -2.7987379998
  9999.9999613,    0.1000000000,   -2.8134470524
  9999.999872,    0.1000000000,   -2.8336327874
  9999.9998643,    0.1000000000,   -2.8513167888
  9999.9998922,    0.1000000000,   -2.8660902740
  9999.9999084,    0.1000000000,   -2.8757314269
  9999.9999255,    0.1000000000,   -2.8873130354
  9999.9999417,    0.1000000000,   -2.9001460649
  9999.9999589,    0.1000000000,   -2.9175225705
  9999.9999643,    0.1000000000,   -2.9245607030
