{
FlexPDE Version 6.50/W64  16:07:14 Jan 31 2017
basismodel_sin_kort.pde  16:17:47 5/28/18
Title: Concentratie
from (0.1,0)
to (0.1,-5)
 Time 330
<c> , <X> , <Y> 
}
  10.,    0.1000000000,    0.0000000000
  11.639323318,    0.1000000000,   -0.0172810939
  13.093880847,    0.1000000000,   -0.0345621878
  14.234622565,    0.1000000000,   -0.0499651665
  15.051937689,    0.1000000000,   -0.0624564581
  15.691760245,    0.1000000000,   -0.0723275552
  16.692738766,    0.1000000000,   -0.0874390414
  17.528350036,    0.1000000000,   -0.0999303330
  18.928699246,    0.1000000000,   -0.1209676574
  20.271437821,    0.1000000000,   -0.1382487513
  21.913814633,    0.1000000000,   -0.1555298453
  23.034622809,    0.1000000000,   -0.1662675629
  24.611579207,    0.1000000000,   -0.1802689719
  25.461239321,    0.1000000000,   -0.1873693744
  27.037587696,    0.1000000000,   -0.1998606660
  28.355835964,    0.1000000000,   -0.2096429194
  30.899553309,    0.1000000000,   -0.2269481086
  32.56474436,    0.1000000000,   -0.2373867911
  34.689774415,    0.1000000000,   -0.2498954995
  36.956126452,    0.1000000000,   -0.2624042079
  38.641866808,    0.1000000000,   -0.2712383959
  41.912796473,    0.1000000000,   -0.2874216246
  44.603114456,    0.1000000000,   -0.2999303330
  47.434754421,    0.1000000000,   -0.3124390414
  50.407716368,    0.1000000000,   -0.3249477498
  53.055727129,    0.1000000000,   -0.3356191979
  56.777602919,    0.1000000000,   -0.3499651665
  60.174530672,    0.1000000000,   -0.3624738749
  65.964709668,    0.1000000000,   -0.3826948109
  71.213245823,    0.1000000000,   -0.4000000000
  71.213245823,    0.1000000000,   -0.4000000000
  74.897472263,    0.1000000000,   -0.4145233167
  79.740713483,    0.1000000000,   -0.4290466334
  84.721115857,    0.1000000000,   -0.4412834008
  89.561375978,    0.1000000000,   -0.4516042510
  100.44419315,    0.1000000000,   -0.4713357150
  107.59405921,    0.1000000000,   -0.4825668016
  112.43984323,    0.1000000000,   -0.4896218266
  121.34229778,    0.1000000000,   -0.5016632169
  133.13968181,    0.1000000000,   -0.5161865337
  146.09608776,    0.1000000000,   -0.5307098504
  160.21152524,    0.1000000000,   -0.5452331671
  175.48597711,    0.1000000000,   -0.5597564838
  191.91945089,    0.1000000000,   -0.5742798005
  201.56424886,    0.1000000000,   -0.5823600504
  212.8785668,    0.1000000000,   -0.5914780529
  228.26348221,    0.1000000000,   -0.6033264339
  236.8777269,    0.1000000000,   -0.6097140580
  248.17402382,    0.1000000000,   -0.6178497506
  262.70422021,    0.1000000000,   -0.6279500630
  271.93377269,    0.1000000000,   -0.6483468579
  277.15691666,    0.1000000000,   -0.6588412784
  296.36123821,    0.1000000000,   -0.6802944392
  318.0985184,    0.1000000000,   -0.6962682298
  346.31665105,    0.1000000000,   -0.7123093592
  376.98664561,    0.1000000000,   -0.7266597787
  403.38771199,    0.1000000000,   -0.7385872850
  432.21636076,    0.1000000000,   -0.7494560479
  465.59450249,    0.1000000000,   -0.7603248107
  507.45989115,    0.1000000000,   -0.7722523171
  545.99926487,    0.1000000000,   -0.7820623364
  593.02588552,    0.1000000000,   -0.7929310993
  644.60199914,    0.1000000000,   -0.8037998621
  706.43805488,    0.1000000000,   -0.8157273685
  807.09601847,    0.1000000000,   -0.8332299200
  948.5346591,    0.1000000000,   -0.8549674457
  1132.5699295,    0.1000000000,   -0.8809399455
  1304.0911586,    0.1000000000,   -0.9026774712
  1414.9820489,    0.1000000000,   -0.9157574969
  1544.5803413,    0.1000000000,   -0.9302491807
  1694.9568483,    0.1000000000,   -0.9461525226
  1832.7856963,    0.1000000000,   -0.9622863620
  2007.6383396,    0.1000000000,   -0.9801614414
  2180.8684354,    0.1000000000,   -0.9959002054
  2397.6896533,    0.1000000000,   -1.0136344469
  2671.8906258,    0.1000000000,   -1.0337866798
  2939.873305,    0.1000000000,   -1.0516617593
  3146.4347868,    0.1000000000,   -1.0640972977
  3329.3016485,    0.1000000000,   -1.0749647925
  3514.3617144,    0.1000000000,   -1.0858322873
  3728.814273,    0.1000000000,   -1.0982678258
  3891.0614587,    0.1000000000,   -1.1075672769
  4082.7011372,    0.1000000000,   -1.1184347717
  4276.5340198,    0.1000000000,   -1.1293022665
  4842.1395577,    0.1000000000,   -1.1603367071
  5189.6777632,    0.1000000000,   -1.1789356093
  5664.4557763,    0.1000000000,   -1.2038066863
  6088.7731108,    0.1000000000,   -1.2255416758
  6335.4890772,    0.1000000000,   -1.2379772143
  6553.447206,    0.1000000000,   -1.2488447091
  6773.5985391,    0.1000000000,   -1.2597122039
  7028.2055823,    0.1000000000,   -1.2721477424
  7270.4099426,    0.1000000000,   -1.2859328400
  7542.5233923,    0.1000000000,   -1.3020423366
  7768.058459,    0.1000000000,   -1.3159555985
  7995.3167937,    0.1000000000,   -1.3305582172
  8288.1816846,    0.1000000000,   -1.3503708266
  8513.1736788,    0.1000000000,   -1.3664803232
  8565.6383616,    0.1000000000,   -1.3714179068
  8659.8507333,    0.1000000000,   -1.3805611905
  8787.2181605,    0.1000000000,   -1.3935602246
  8899.2297003,    0.1000000000,   -1.4057037408
  8998.5101568,    0.1000000000,   -1.4171343254
  9144.9262067,    0.1000000000,   -1.4354208929
  9276.0664821,    0.1000000000,   -1.4537074604
  9371.8551241,    0.1000000000,   -1.4686451818
  9455.600925,    0.1000000000,   -1.4832401616
  9492.5197094,    0.1000000000,   -1.4902805953
  9529.6160111,    0.1000000000,   -1.4978351414
  9593.9003352,    0.1000000000,   -1.5124301212
  9614.7606648,    0.1000000000,   -1.5177104464
  9647.8698385,    0.1000000000,   -1.5268537302
  9677.1599673,    0.1000000000,   -1.5359970139
  9717.0491597,    0.1000000000,   -1.5510442110
  9742.1168695,    0.1000000000,   -1.5634268651
  9753.7302738,    0.1000000000,   -1.5708100404
  9769.360909,    0.1000000000,   -1.5854050202
  9775.2608024,    0.1000000000,   -1.6000000000
  9775.2608024,    0.1000000000,   -1.6000000000
  9800.362418,    0.1000000000,   -1.6167852825
  9823.645884,    0.1000000000,   -1.6335705650
  9839.7996539,    0.1000000000,   -1.6460671233
  9853.7945533,    0.1000000000,   -1.6575839042
  9864.7584027,    0.1000000000,   -1.6671411301
  9873.4746286,    0.1000000000,   -1.6751336252
  9880.596788,    0.1000000000,   -1.6819639547
  9893.9379166,    0.1000000000,   -1.6956246139
  9905.6779187,    0.1000000000,   -1.7088160806
  9917.0074297,    0.1000000000,   -1.7229459321
  9925.1655797,    0.1000000000,   -1.7342822601
  9935.2599508,    0.1000000000,   -1.7502672503
  9942.5798394,    0.1000000000,   -1.7639279095
  9948.6954799,    0.1000000000,   -1.7775885686
  9953.6068738,    0.1000000000,   -1.7912492277
  9955.8820746,    0.1000000000,   -1.7990906953
  9958.1987888,    0.1000000000,   -1.8090452301
  9959.8169142,    0.1000000000,   -1.8185705460
  9963.4840187,    0.1000000000,   -1.8316196415
  9966.8163621,    0.1000000000,   -1.8441293446
  9971.7942705,    0.1000000000,   -1.8642257990
  9974.4971183,    0.1000000000,   -1.8760060749
  9978.3526445,    0.1000000000,   -1.8941681571
  9980.7884363,    0.1000000000,   -1.9066778602
  9984.0489091,    0.1000000000,   -1.9250994697
  9986.4925971,    0.1000000000,   -1.9408972730
  9988.7238059,    0.1000000000,   -1.9575758169
  9990.6708006,    0.1000000000,   -1.9742543608
  9991.7077952,    0.1000000000,   -1.9843147736
  9993.1991391,    0.1000000000,   -2.0009933175
  9994.8064995,    0.1000000000,   -2.0242899925
  9995.6166374,    0.1000000000,   -2.0409685365
  9995.9678855,    0.1000000000,   -2.0510289492
  9996.3223727,    0.1000000000,   -2.0677074932
  9996.8670069,    0.1000000000,   -2.0896540581
  9997.4161747,    0.1000000000,   -2.1087764164
  9997.6249074,    0.1000000000,   -2.1166395697
  9997.9064524,    0.1000000000,   -2.1278987748
  9998.2917994,    0.1000000000,   -2.1448488667
  9998.7869224,    0.1000000000,   -2.1704977456
  9999.0518388,    0.1000000000,   -2.1871628121
  9999.2411057,    0.1000000000,   -2.2012674606
  9999.3983328,    0.1000000000,   -2.2153721091
  9999.4956267,    0.1000000000,   -2.2259987118
  9999.6166675,    0.1000000000,   -2.2435814061
  9999.6777752,    0.1000000000,   -2.2576860546
  9999.7086,    0.1000000000,   -2.2808776416
  9999.6688593,    0.1000000000,   -2.3000000000
  9999.6688593,    0.1000000000,   -2.3000000000
  9999.7149029,    0.1000000000,   -2.3142362726
  9999.7574368,    0.1000000000,   -2.3284725451
  9999.7912236,    0.1000000000,   -2.3407213067
  9999.8173277,    0.1000000000,   -2.3509016334
  9999.8639798,    0.1000000000,   -2.3711813628
  9999.8848715,    0.1000000000,   -2.3814426135
  9999.8964484,    0.1000000000,   -2.3875542946
  9999.9174597,    0.1000000000,   -2.3996539079
  9999.938935,    0.1000000000,   -2.4138901804
  9999.9569005,    0.1000000000,   -2.4281264530
  9999.9710195,    0.1000000000,   -2.4419865058
  9999.9823024,    0.1000000000,   -2.4565989981
  9999.9897387,    0.1000000000,   -2.4708352706
  9999.9936652,    0.1000000000,   -2.4850715432
  9999.994082,    0.1000000000,   -2.4993078157
  9999.990989,    0.1000000000,   -2.5135440883
  9999.9843862,    0.1000000000,   -2.5277803608
  9999.9865232,    0.1000000000,   -2.5419999299
  9999.9892665,    0.1000000000,   -2.5630800382
  9999.9912686,    0.1000000000,   -2.5817115236
  9999.9928247,    0.1000000000,   -2.5996885778
  9999.9933978,    0.1000000000,   -2.6076773101
  9999.9940118,    0.1000000000,   -2.6176656321
  9999.9952399,    0.1000000000,   -2.6372521199
  9999.9961214,    0.1000000000,   -2.6519611725
  9999.9971878,    0.1000000000,   -2.6721469075
  9999.9983039,    0.1000000000,   -2.6978093249
  9999.9989934,    0.1000000000,   -2.7179950599
  9999.9993914,    0.1000000000,   -2.7327041125
  9999.9997941,    0.1000000000,   -2.7528898475
  10000.000067,    0.1000000000,   -2.7785522649
  10000.000093,    0.1000000000,   -2.7987379998
  10000.000007,    0.1000000000,   -2.8134470524
  9999.9997461,    0.1000000000,   -2.8336327874
  9999.9996958,    0.1000000000,   -2.8513167888
  9999.9997461,    0.1000000000,   -2.8660902740
  9999.9997736,    0.1000000000,   -2.8757314269
  9999.999801,    0.1000000000,   -2.8873130354
  9999.9998242,    0.1000000000,   -2.9001460649
  9999.9998437,    0.1000000000,   -2.9175225705
  9999.9998476,    0.1000000000,   -2.9245607030
