{
FlexPDE Version 6.50/W64  16:07:14 Jan 31 2017
basismodel_sin_kort.pde  16:17:47 5/28/18
Title: Concentratie
from (0.1,0)
to (0.1,-5)
 Time 150
<c> , <X> , <Y> 
}
  10.,    0.1000000000,    0.0000000000
  9.977785214,    0.1000000000,   -0.0172810939
  10.069705461,    0.1000000000,   -0.0345621878
  10.247838416,    0.1000000000,   -0.0499651665
  10.458882048,    0.1000000000,   -0.0624564581
  10.810920331,    0.1000000000,   -0.0782435590
  11.076800515,    0.1000000000,   -0.0880240039
  11.44981494,    0.1000000000,   -0.0999303330
  12.241331954,    0.1000000000,   -0.1209676574
  13.018062338,    0.1000000000,   -0.1382487513
  13.959452407,    0.1000000000,   -0.1555298453
  14.676603736,    0.1000000000,   -0.1662675629
  15.76394759,    0.1000000000,   -0.1802689719
  16.381204862,    0.1000000000,   -0.1873693744
  17.57465389,    0.1000000000,   -0.1998606660
  18.685403418,    0.1000000000,   -0.2096429194
  20.946830518,    0.1000000000,   -0.2269481086
  22.494121715,    0.1000000000,   -0.2373867911
  24.529789028,    0.1000000000,   -0.2498954995
  26.763378479,    0.1000000000,   -0.2624042079
  28.460082638,    0.1000000000,   -0.2712383959
  31.824323792,    0.1000000000,   -0.2874216246
  34.651679655,    0.1000000000,   -0.2999303330
  37.676957655,    0.1000000000,   -0.3124390414
  40.900157791,    0.1000000000,   -0.3249477498
  43.806393159,    0.1000000000,   -0.3356191979
  47.94032108,    0.1000000000,   -0.3499651665
  51.757287454,    0.1000000000,   -0.3624738749
  58.346182311,    0.1000000000,   -0.3826948109
  64.395719397,    0.1000000000,   -0.4000000000
  64.395719397,    0.1000000000,   -0.4000000000
  69.959233165,    0.1000000000,   -0.4145233167
  76.283313729,    0.1000000000,   -0.4290466334
  82.202123841,    0.1000000000,   -0.4412834008
  87.613967881,    0.1000000000,   -0.4516042510
  99.029463894,    0.1000000000,   -0.4713357150
  106.15407556,    0.1000000000,   -0.4825668016
  110.86215343,    0.1000000000,   -0.4896218266
  119.31236875,    0.1000000000,   -0.5016632169
  130.19990528,    0.1000000000,   -0.5161865337
  141.84801646,    0.1000000000,   -0.5307098504
  154.25669525,    0.1000000000,   -0.5452331671
  167.42595583,    0.1000000000,   -0.5597564838
  181.35579106,    0.1000000000,   -0.5742798005
  189.43514239,    0.1000000000,   -0.5823600504
  198.83483265,    0.1000000000,   -0.5914780529
  211.49717885,    0.1000000000,   -0.6033264339
  218.53364766,    0.1000000000,   -0.6097140580
  227.70873814,    0.1000000000,   -0.6178497506
  239.43156206,    0.1000000000,   -0.6279500630
  278.11919682,    0.1000000000,   -0.6483468579
  300.05974567,    0.1000000000,   -0.6588412784
  344.84344075,    0.1000000000,   -0.6802944392
  378.12935994,    0.1000000000,   -0.6962682298
  411.5044602,    0.1000000000,   -0.7123093592
  441.31847445,    0.1000000000,   -0.7266597787
  464.91343734,    0.1000000000,   -0.7385872850
  488.35409578,    0.1000000000,   -0.7494560479
  513.64475724,    0.1000000000,   -0.7603248107
  543.52809367,    0.1000000000,   -0.7722523171
  569.77608924,    0.1000000000,   -0.7820623364
  600.61675978,    0.1000000000,   -0.7929310993
  633.30743334,    0.1000000000,   -0.8037998621
  671.3116095,    0.1000000000,   -0.8157273685
  731.11290713,    0.1000000000,   -0.8332299200
  812.06300784,    0.1000000000,   -0.8549674457
  966.94126527,    0.1000000000,   -0.8809399455
  1109.9408327,    0.1000000000,   -0.9026774712
  1201.8607883,    0.1000000000,   -0.9157574969
  1308.8539024,    0.1000000000,   -0.9302491807
  1432.503447,    0.1000000000,   -0.9461525226
  1811.0035812,    0.1000000000,   -0.9622863620
  2180.089084,    0.1000000000,   -0.9801614414
  2461.3204031,    0.1000000000,   -0.9959002054
  2729.1258006,    0.1000000000,   -1.0136344469
  2970.3166239,    0.1000000000,   -1.0337866798
  3128.0502268,    0.1000000000,   -1.0516617593
  3345.8879502,    0.1000000000,   -1.0640972977
  3538.8121143,    0.1000000000,   -1.0749647925
  3734.1187491,    0.1000000000,   -1.0858322873
  3960.5285242,    0.1000000000,   -1.0982678258
  4131.8794309,    0.1000000000,   -1.1075672769
  4334.333478,    0.1000000000,   -1.1184347717
  4539.1699958,    0.1000000000,   -1.1293022665
  5137.2407456,    0.1000000000,   -1.1603367071
  5504.9750028,    0.1000000000,   -1.1789356093
  6007.6261344,    0.1000000000,   -1.2038066863
  6457.1136534,    0.1000000000,   -1.2255416758
  6718.5710662,    0.1000000000,   -1.2379772143
  6949.6147624,    0.1000000000,   -1.2488447091
  7183.0409294,    0.1000000000,   -1.2597122039
  7453.0703938,    0.1000000000,   -1.2721477424
  7681.6226748,    0.1000000000,   -1.2859328400
  7938.5483286,    0.1000000000,   -1.3020423366
  8151.6307448,    0.1000000000,   -1.3159555985
  8366.481991,    0.1000000000,   -1.3305582172
  8643.5980167,    0.1000000000,   -1.3503708266
  8856.7054529,    0.1000000000,   -1.3664803232
  8900.481169,    0.1000000000,   -1.3714179068
  8978.7097581,    0.1000000000,   -1.3805611905
  9083.5906352,    0.1000000000,   -1.3935602246
  9174.8474983,    0.1000000000,   -1.4057037408
  9254.8142296,    0.1000000000,   -1.4171343254
  9370.7808457,    0.1000000000,   -1.4354208929
  9472.0237153,    0.1000000000,   -1.4537074604
  9543.7997505,    0.1000000000,   -1.4686451818
  9604.4396876,    0.1000000000,   -1.4832401616
  9630.3382151,    0.1000000000,   -1.4902805953
  9655.7005402,    0.1000000000,   -1.4978351414
  9697.5822895,    0.1000000000,   -1.5124301212
  9710.4242227,    0.1000000000,   -1.5177104464
  9729.757729,    0.1000000000,   -1.5268537302
  9745.4102453,    0.1000000000,   -1.5359970139
  9763.1562681,    0.1000000000,   -1.5510442110
  9770.2822571,    0.1000000000,   -1.5634268651
  9771.3183454,    0.1000000000,   -1.5708100404
  9766.3046133,    0.1000000000,   -1.5854050202
  9751.9117994,    0.1000000000,   -1.6000000000
  9751.9117994,    0.1000000000,   -1.6000000000
  9779.8657641,    0.1000000000,   -1.6167852825
  9805.7208871,    0.1000000000,   -1.6335705650
  9823.6069675,    0.1000000000,   -1.6460671233
  9839.0605941,    0.1000000000,   -1.6575839042
  9851.1346453,    0.1000000000,   -1.6671411301
  9860.7094365,    0.1000000000,   -1.6751336252
  9868.5148864,    0.1000000000,   -1.6819639547
  9883.0831599,    0.1000000000,   -1.6956246139
  9895.8317125,    0.1000000000,   -1.7088160806
  9908.0492155,    0.1000000000,   -1.7229459321
  9916.7759919,    0.1000000000,   -1.7342822601
  9927.4546156,    0.1000000000,   -1.7502672503
  9935.07207,    0.1000000000,   -1.7639279095
  9941.2993604,    0.1000000000,   -1.7775885686
  9946.136488,    0.1000000000,   -1.7912492277
  9948.2850701,    0.1000000000,   -1.7990906953
  9950.3528007,    0.1000000000,   -1.8090452301
  9951.6402492,    0.1000000000,   -1.8185705460
  9956.3890237,    0.1000000000,   -1.8316196415
  9960.6781582,    0.1000000000,   -1.8441293446
  9967.0288295,    0.1000000000,   -1.8642257990
  9970.4422196,    0.1000000000,   -1.8760060749
  9975.2568644,    0.1000000000,   -1.8941681571
  9978.2570753,    0.1000000000,   -1.9066778602
  9982.2058378,    0.1000000000,   -1.9250994697
  9985.1815422,    0.1000000000,   -1.9408972730
  9987.9931142,    0.1000000000,   -1.9575758169
  9990.4401077,    0.1000000000,   -1.9742543608
  9991.7398414,    0.1000000000,   -1.9843147736
  9993.6023445,    0.1000000000,   -2.0009933175
  9995.5936173,    0.1000000000,   -2.0242899925
  9996.5822969,    0.1000000000,   -2.0409685365
  9997.0023828,    0.1000000000,   -2.0510289492
  9997.4065719,    0.1000000000,   -2.0677074932
  9997.8722779,    0.1000000000,   -2.0896540581
  9998.3295345,    0.1000000000,   -2.1087764164
  9998.501559,    0.1000000000,   -2.1166395697
  9998.7316441,    0.1000000000,   -2.1278987748
  9999.0419683,    0.1000000000,   -2.1448488667
  9999.4291594,    0.1000000000,   -2.1704977456
  9999.6275577,    0.1000000000,   -2.1871628121
  9999.7627476,    0.1000000000,   -2.2012674606
  9999.8679343,    0.1000000000,   -2.2153721091
  9999.9273655,    0.1000000000,   -2.2259987118
  9999.9882979,    0.1000000000,   -2.2435814061
  10000.003475,    0.1000000000,   -2.2576860546
  9999.9632052,    0.1000000000,   -2.2808776416
  9999.8689859,    0.1000000000,   -2.3000000000
  9999.8689859,    0.1000000000,   -2.3000000000
  9999.8881413,    0.1000000000,   -2.3142362726
  9999.9057967,    0.1000000000,   -2.3284725451
  9999.9197867,    0.1000000000,   -2.3407213067
  9999.9305692,    0.1000000000,   -2.3509016334
  9999.9497624,    0.1000000000,   -2.3711813628
  9999.9583142,    0.1000000000,   -2.3814426135
  9999.9630374,    0.1000000000,   -2.3875542946
  9999.9715727,    0.1000000000,   -2.3996539079
  9999.9802278,    0.1000000000,   -2.4138901804
  9999.9873828,    0.1000000000,   -2.4281264530
  9999.9929077,    0.1000000000,   -2.4419865058
  9999.9971927,    0.1000000000,   -2.4565989981
  9999.9998476,    0.1000000000,   -2.4708352706
  10000.001002,    0.1000000000,   -2.4850715432
  10000.000657,    0.1000000000,   -2.4993078157
  9999.998812,    0.1000000000,   -2.5135440883
  9999.9954667,    0.1000000000,   -2.5277803608
  9999.9962034,    0.1000000000,   -2.5419999299
  9999.9971436,    0.1000000000,   -2.5630800382
  9999.9978238,    0.1000000000,   -2.5817115236
  9999.9983458,    0.1000000000,   -2.5996885778
  9999.9985355,    0.1000000000,   -2.6076773101
  9999.998736,    0.1000000000,   -2.6176656321
  9999.9989697,    0.1000000000,   -2.6372521199
  9999.9991088,    0.1000000000,   -2.6519611725
  9999.999281,    0.1000000000,   -2.6721469075
  9999.9994687,    0.1000000000,   -2.6978093249
  9999.9995918,    0.1000000000,   -2.7179950599
  9999.9996679,    0.1000000000,   -2.7327041125
  9999.9997536,    0.1000000000,   -2.7528898475
  9999.9998314,    0.1000000000,   -2.7785522649
  9999.999868,    0.1000000000,   -2.7987379998
  9999.999881,    0.1000000000,   -2.8134470524
  9999.9998802,    0.1000000000,   -2.8336327874
  9999.9998909,    0.1000000000,   -2.8513167888
  9999.9999078,    0.1000000000,   -2.8660902740
  9999.9999183,    0.1000000000,   -2.8757314269
  9999.9999306,    0.1000000000,   -2.8873130354
  9999.9999435,    0.1000000000,   -2.9001460649
  9999.9999601,    0.1000000000,   -2.9175225705
  9999.9999665,    0.1000000000,   -2.9245607030
